Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Zeleno-rdeča omaka,7,51,1,1,2 h 10 min,0 min,2 h 10 min,Mehiška,40.53 kCal
Nadev picadillo,15,138,4,2,15 min,30 min,45 min,Mehiška,176.21 kCal
Hitra omaka iz svežega paradižnika,7,70,3,1,10 min,20 min,30 min,Slovenska,18.46 kCal
Ocvrti čiliji,7,184,3,2,30 min,15 min,45 min,Mehiška,82.22 kCal
Mangova krema s karamelno skorjo,6,141,3,1,2 h 40 min,3 min,2 h 43 min,Poletje,140.05 kCal
Oslič po špansko,10,172,4,2,30 min,25 min,55 min,Ribe in morski sadeži,105.14 kCal
Chorizo s sirom,8,129,3,1,20 min,15 min,35 min,Mehiška,252.8 kCal
Lazanja z bučkami in špinačo,11,219,5,2,20 min,20 min,40 min,Italijanska,191.81 kCal
Sosedovo pecivo z redkvicami,4,54,2,1,10 min,0 min,10 min,Slovenska,200.53 kCal
Pikantni piščanec,7,101,3,1,1 h 15 min,15 min,1 h 30 min,Mehiška,117.36 kCal
Lovski zrezki,10,148,4,2,10 min,15 min,25 min,Slovenska,77.37 kCal
Svinjski zrezki z ananasom in sirom,8,95,2,1,8 min,13 min,21 min,Meso,110.51 kCal
Angleški božični puding,19,236,5,2,15 min,5 h 5 min,5 h 20 min,Božič in novo leto,287.11 kCal
Niški vampi,15,119,3,2,7 min,2 h 10 min,2 h 17 min,Meso,111.47 kCal
Palačinke z lososom,11,199,4,1,40 min,35 min,1 h 15 min,Zabava,324.18 kCal
Špinačne empanade,18,305,6,2,50 min,50 min,1 h 40 min,Piknik in žar,245.15 kCal
Palačinke s pudingom,13,199,4,1,50 min,15 min,1 h 5 min,Zabava,239.73 kCal
Piščančje prsi na žaru,11,127,3,2,50 min,15 min,1 h 5 min,Meso,251.19 kCal
Mandljeva krema,9,148,4,2,2 h 40 min,15 min,2 h 55 min,Priložnostno,489.86 kCal
Torta iz palačink,14,209,5,1,1 h 0 min,15 min,1 h 15 min,Zabava,187.83 kCal
Parillada,16,248,5,2,2 h 20 min,40 min,3 h 0 min,Meso,238.07 kCal
Palačinke z bananami,10,119,3,1,40 min,15 min,55 min,Banana na 1001 način,174.38 kCal
Goveji zrezki z bezgovo omako,9,151,3,2,1 h 20 min,20 min,1 h 40 min,Pomlad,316.24 kCal
Kolač Svetih treh kraljev,14,118,4,2,2 h 30 min,45 min,3 h 15 min,Mehiška,327.38 kCal
Jajčevci s paradižniki,8,131,3,2,10 min,45 min,55 min,Zelenjava,27.2 kCal
Biftki po japonsko,9,164,3,2,3 h 8 min,4 min,3 h 12 min,Meso,185.82 kCal
Argentinska mesna rolada,16,261,7,3,40 min,1 h 40 min,2 h 20 min,Meso,132.31 kCal
Piščančje rezine na rukoli,6,110,2,2,10 min,10 min,20 min,Poletje,194.97 kCal
Havajska zmrzlina,5,69,2,1,40 min,0 min,40 min,Pijača,53.37 kCal
Palačinke s piščancem,12,172,4,1,35 min,30 min,1 h 5 min,Zabava,246.32 kCal
Palačinke s pomarančo,12,188,4,1,45 min,30 min,1 h 15 min,Zabava,225.72 kCal
Palačinke s šampinjoni,17,241,5,2,40 min,40 min,1 h 20 min,Zabava,192.01 kCal
Palačinke s kokosom,11,137,3,1,45 min,15 min,1 h 0 min,Zabava,302.55 kCal
Mehko kuhano jajce,1,29,1,1,0 min,4 min,4 min,Zajtrk,142.86 kCal
Palačinke z oreščki,15,126,3,1,40 min,15 min,55 min,Slovenska,0 kCal
Piščančje kračice huli huli,13,141,3,2,4 h 10 min,35 min,4 h 45 min,Piknik in žar,202.87 kCal
Palačinke z maskarponejem,13,166,4,1,40 min,15 min,55 min,Zabava,311.89 kCal
Lososov burger,12,82,3,2,15 min,10 min,25 min,Piknik in žar,198.56 kCal
Andaluzijske mesne kroglice,14,175,3,2,10 min,25 min,35 min,Zabava,162.22 kCal
Sendvič s salamo in zelenjavo,8,77,2,1,15 min,0 min,15 min,Slovenska,46.44 kCal
Amaretti,4,119,2,1,25 min,20 min,45 min,Italijanska,506.84 kCal
Toast z arašidovim maslom in banano,3,34,1,1,4 min,0 min,4 min,Priložnostno,0 kCal
Tiramisu,8,165,4,1,2 h 40 min,6 min,2 h 46 min,Italijanska,317.17 kCal
Domača tatarska omaka,8,73,2,1,20 min,0 min,20 min,Zabava,131.99 kCal
Svinjska rebra z rožmarinom,8,114,3,2,10 min,35 min,45 min,Piknik in žar,154.46 kCal
Ocvrt camembert,7,105,3,2,8 min,6 min,14 min,Na hitro,292.4 kCal
Čilijeva pomaka,6,56,1,1,10 min,0 min,10 min,Azijska,30 kCal
Dulce de leche,3,66,3,2,0 min,1 h 50 min,1 h 50 min,Sladice,108.34 kCal
Alfajores,11,116,4,2,20 min,15 min,35 min,Sladice,383.76 kCal
Pečen kunec v omaki s testeninami,11,152,5,1,1 h 17 min,33 min,1 h 50 min,Slovenska,123.46 kCal
Garam masala,6,48,1,1,5 min,8 min,13 min,Domači pripravki,301.98 kCal
Chimichurri,7,46,1,1,2 h 10 min,0 min,2 h 10 min,Omake,178.73 kCal
Makove štručke,6,209,4,3,1 h 45 min,20 min,2 h 5 min,Slovenska,359.09 kCal
Piščanec z indijskimi začimbami,6,176,3,2,3 h 10 min,1 h 15 min,4 h 25 min,Meso,211.77 kCal
Kvašeni losos,10,197,4,2,20 min,0 min,20 min,Božič in novo leto,195.16 kCal
Postrv z zelišči,8,111,3,1,15 min,25 min,40 min,Slovenska,139.15 kCal
Postrv s šparglji,6,122,3,2,15 min,25 min,40 min,Slovenska,142.11 kCal
Šopska solata,11,64,2,1,20 min,0 min,20 min,Balkanska,77.77 kCal
Klapavice z rdečo curryjevo pasto,9,136,4,2,10 min,10 min,20 min,Zabava,95.51 kCal
Trdo kuhano jajce,2,56,2,1,5 min,10 min,15 min,Triki in nasveti,51.28 kCal
Vietnamski pomladanski zvitki,8,198,4,2,1 h 0 min,0 min,1 h 0 min,Azijska,63.07 kCal
Romantičen zajtrk,5,97,3,1,5 min,10 min,15 min,Valentinovo,207.08 kCal
Zelena curryjeva pasta,13,141,3,2,10 min,5 min,15 min,Domači pripravki,61.47 kCal
Toast s šparglji in šampinjoni,7,107,3,1,10 min,10 min,20 min,Piknik in žar,241.73 kCal
Toast z jajci,6,125,3,1,10 min,15 min,25 min,Piknik in žar,137.86 kCal
Zdrav sendvič,8,119,2,1,20 min,8 min,28 min,Piknik in žar,71.02 kCal
Ajvar,6,130,4,2,40 min,40 min,1 h 20 min,Balkanska,34.1 kCal
Namaz z vodno krešo,5,39,1,1,10 min,0 min,10 min,Slovenska,144.5 kCal
Brancinov file z limonino omako,7,169,3,3,20 min,17 min,37 min,Ribe in morski sadeži,124.05 kCal
Losos z avokadom,8,137,3,2,15 min,10 min,25 min,Kuhinje,181.02 kCal
Taco z repki,10,160,3,2,20 min,10 min,30 min,Mehiška,105.62 kCal
Sendvič z ocvrtimi repki,11,115,2,2,15 min,10 min,25 min,Piknik in žar,61.44 kCal
Čokoladna piškotna torta,7,142,5,2,5 h 30 min,15 min,5 h 45 min,Sladice,471.15 kCal
Piščančje palčke na žaru,9,102,2,2,2 h 15 min,15 min,2 h 30 min,Piknik in žar,176.25 kCal
"Kaneloni s špinačo, piščancem in rikoto",14,229,5,3,1 h 40 min,30 min,2 h 10 min,Italijanska,128.99 kCal
Kozice s pehtranovo omako,13,170,3,2,10 min,15 min,25 min,Ribe in morski sadeži,124.03 kCal
Sladkorne vrtnice,5,147,4,3,1 h 0 min,0 min,1 h 0 min,Sladice,388.23 kCal
Piščančji cacciatore,14,165,3,2,10 min,25 min,35 min,Italijanska,116.48 kCal
Pražene kozice na tajski način,15,225,5,2,15 min,15 min,30 min,Testenine in žita,128.42 kCal
Piščančji casserole,11,165,3,2,10 min,25 min,35 min,Zabava,184.75 kCal
Angleška poročna torta,19,245,5,3,2 h 40 min,1 h 30 min,4 h 10 min,Sladice,333.53 kCal
Piščančji zrezki z jurčki in vinom,10,123,4,1,10 min,25 min,35 min,Italijanska,178.02 kCal
Pekanovi piškoti,13,189,4,2,1 h 30 min,20 min,1 h 50 min,Noč čarovnic,442.83 kCal
Rdeča curryjeva pasta,12,113,2,1,15 min,7 min,22 min,Domači pripravki,148.15 kCal
Tajski goveji curry,10,121,3,2,10 min,32 min,42 min,Meso,191.58 kCal
Domače pšenične tortilje,4,169,5,2,20 min,6 min,26 min,Zabava,423.26 kCal
Tortilje iz koruzne moke,3,135,5,2,10 min,2 min,12 min,Testenine in žita,360.95 kCal
Čokoladna diabetična torta,11,347,6,3,2 h 10 min,45 min,2 h 55 min,Sladice,380.55 kCal
Kitajska omaka,12,119,3,1,5 min,20 min,25 min,Omake,87.23 kCal
Osvežilen pesin napitek,4,38,2,1,10 min,0 min,10 min,Pijača,24.51 kCal
Sendvič s tuno in jajci,16,79,3,1,15 min,10 min,25 min,Zabava,229.77 kCal
Piščanec Mole Poblano,22,274,3,2,45 min,1 h 0 min,1 h 45 min,Mehiška,148.88 kCal
Makova potica,19,263,6,3,3 h 0 min,1 h 10 min,4 h 10 min,Božič in novo leto,375.84 kCal
Tunin karpačo,8,91,2,2,2 h 15 min,0 min,2 h 15 min,Italijanska,132.58 kCal
Sacher torta,7,301,7,2,1 h 20 min,45 min,2 h 5 min,Valentinovo,392.39 kCal
Jagodna krema s smetano,10,135,4,1,1 h 20 min,0 min,1 h 20 min,Pomlad,136.91 kCal
Mongolski piščanec,16,146,4,2,10 min,20 min,30 min,Azijska,168.21 kCal
Cimetovi polži,17,165,6,3,2 h 30 min,35 min,3 h 5 min,Sladice,406.02 kCal
Stročji fižol v solati,7,91,3,1,15 min,15 min,30 min,Slovenska,65.17 kCal
Ocvrte piščančje prsi,7,150,3,2,15 min,10 min,25 min,Slovenska,184.09 kCal
Polnjene pomaranče,8,145,3,2,30 min,5 min,35 min,Zima,167.9 kCal
Piščančje kračice v medeni omaki,9,105,2,1,5 min,32 min,37 min,Meso,220.1 kCal
Pehtranova potica,18,228,4,3,2 h 40 min,1 h 10 min,3 h 50 min,Slovenska,406.71 kCal
Piščančja bedrca z rožmarinom in zelenjavo,12,140,3,2,15 min,40 min,55 min,Slovenska,129.64 kCal
Breskova mini tortica,6,189,5,2,3 h 0 min,25 min,3 h 25 min,Zabava,204.16 kCal
Ajdovi štruklji,7,154,5,3,45 min,50 min,1 h 35 min,Slovenska,116.52 kCal
Piščanec z zelišči na žaru,9,112,3,2,1 h 10 min,20 min,1 h 30 min,Meso,233.53 kCal
Tzatziki,6,69,2,1,55 min,0 min,55 min,Poletje,78.92 kCal
Piščanec z artičokami,5,130,3,2,10 min,20 min,30 min,Zdravo in vegi,114.84 kCal
Malinova krema,6,177,4,1,3 h 30 min,15 min,3 h 45 min,Zabava,137.86 kCal
Medene banane v čolničku,6,114,3,1,5 min,15 min,20 min,Banana na 1001 način,169.99 kCal
Zrezki po toskansko,9,133,3,1,10 min,25 min,35 min,Italijanska,191.67 kCal
Tandoori piščanec,15,147,5,2,6 h 15 min,35 min,6 h 50 min,Meso,183.37 kCal
Biftki v poprovi omaki s smetano,9,146,4,2,1 h 0 min,25 min,1 h 25 min,Priložnostno,165.56 kCal
Ocvirkova potica,12,135,4,3,2 h 40 min,1 h 0 min,3 h 40 min,Slovenska,448.84 kCal
Rdeči pirhi,6,134,2,1,10 min,2 h 10 min,2 h 20 min,Slovenska,125.78 kCal
Čokoladne tortice s kivijem in smetano,12,160,4,2,25 min,40 min,1 h 5 min,Zabava,211.67 kCal
Pirhi v teranu,3,88,3,1,30 min,15 min,45 min,Velika noč,105.77 kCal
Belokranjske pisanke,1,140,3,3,1 h 30 min,0 min,1 h 30 min,Velika noč,0 kCal
Makov kolač s pomarančnim oblivom,18,225,6,2,1 h 25 min,35 min,2 h 0 min,Zima,291.95 kCal
Spomladanska porova juha,12,218,5,1,10 min,32 min,42 min,Pomlad,107.03 kCal
Cuba libre,4,29,2,1,5 min,0 min,5 min,Pijača,3.32 kCal
Velikonočni zajčki,9,183,4,2,1 h 0 min,10 min,1 h 10 min,Velika noč,402.16 kCal
Mojito,6,77,3,1,5 min,0 min,5 min,Pijača,113.2 kCal
Velikonočni obloženi kruhek,4,87,2,1,10 min,0 min,10 min,Pomlad,76.86 kCal
Kubanska torta,10,168,5,3,3 h 20 min,20 min,3 h 40 min,Banana na 1001 način,313.79 kCal
Velikonočno jagnječje stegno,11,174,3,2,2 h 10 min,2 h 0 min,4 h 10 min,Velika noč,209.92 kCal
Omaka iz kopriv in regrata,8,138,3,1,10 min,20 min,30 min,Zdravo in vegi,64.99 kCal
Pica s feta sirom in rožmarinom,5,66,2,1,10 min,20 min,30 min,Italijanska,206.77 kCal
Deževniki na kompostu,7,125,3,2,50 min,25 min,1 h 15 min,Noč čarovnic,293.1 kCal
Pečena glazirana šunka s klinčki,5,97,3,2,10 min,2 h 10 min,2 h 20 min,Velika noč,127.52 kCal
Šunka in zelenjava v aspiku,10,267,5,2,3 h 0 min,15 min,3 h 15 min,Velika noč,104.82 kCal
Ukrajinske pisanice,2,305,5,3,50 min,0 min,50 min,Velika noč,0 kCal
Polnozrnati kruhek s hrenom in krešo,9,89,2,1,45 min,0 min,45 min,Priložnostno,90.12 kCal
Bela limetina torta,10,198,4,2,1 h 0 min,30 min,1 h 30 min,Pomlad,346.93 kCal
Kosmuljeva tortica z belo krono,13,238,6,2,1 h 20 min,30 min,1 h 50 min,Poletje,249.68 kCal
Brstični ohrovt s slanino,10,113,3,1,15 min,35 min,50 min,Zima,85.82 kCal
Belokranjske drsanke iz čebulnih olupkov,4,228,3,2,15 min,1 h 50 min,2 h 5 min,Velika noč,77.6 kCal
Smetanov hren,6,44,1,1,15 min,0 min,15 min,Velika noč,49.18 kCal
Sladki ocvrtki iz bučnega testa,5,99,2,2,5 min,8 min,13 min,Jesen,325.37 kCal
Taco z govedino,17,181,3,2,20 min,10 min,30 min,Mehiška,99.82 kCal
Njoki iz bučnega testa,9,208,4,2,15 min,33 min,48 min,Jesen,160.82 kCal
Bela kivijeva torta,9,275,6,3,4 h 40 min,45 min,5 h 25 min,Poletje,202.26 kCal
Solata z brstičnim ohrovtom in mandlji,6,88,2,1,10 min,20 min,30 min,Zdravo in vegi,63.71 kCal
Hitra pica iz francoske štruce,7,112,4,1,5 min,20 min,25 min,Zabava,247.66 kCal
Jagnječja empanada,14,275,4,3,1 h 15 min,35 min,1 h 50 min,Meso,287.74 kCal
Piščanec z oreščki in sezamom,11,138,3,2,1 h 10 min,13 min,1 h 23 min,Meso,266.08 kCal
Ploščati špageti z genovskim pestom,3,77,2,1,10 min,8 min,18 min,Italijanska,372 kCal
Špageti po milansko,10,153,3,1,7 min,23 min,30 min,Italijanska,210.81 kCal
Segedin golaž,13,169,3,2,10 min,1 h 20 min,1 h 30 min,Zima,102.78 kCal
Zdrobova juha z mandlji,9,115,2,1,5 min,20 min,25 min,Juhe in jedi na žlico,451.3 kCal
Piščanec z indijskimi oreščki,16,155,3,2,30 min,20 min,50 min,Meso,204.72 kCal
Špageti s špinačo,8,131,3,1,5 min,20 min,25 min,Italijanska,214.56 kCal
Paella,14,265,5,2,30 min,1 h 5 min,1 h 35 min,Testenine in žita,192.46 kCal
Fusilli sedmih dišavnic,13,108,2,1,10 min,28 min,38 min,Italijanska,195.97 kCal
Veleburger,11,134,3,1,20 min,10 min,30 min,Piknik in žar,141.27 kCal
Pisani fusilli s cvetačo,8,121,2,1,8 min,23 min,31 min,Italijanska,191.8 kCal
Kavna torta,12,214,4,3,20 min,40 min,1 h 0 min,Zabava,221.2 kCal
Omaka Aioli,7,81,2,2,45 min,0 min,45 min,Priložnostno,186.35 kCal
Solata s koruzo in tuno,9,87,3,1,25 min,0 min,25 min,Piknik in žar,158.81 kCal
Paška z breskvami in ingverjem,9,120,4,3,12 h 15 min,5 min,12 h 20 min,Velika noč,109.07 kCal
Sirova plošča,5,22,1,1,20 min,0 min,20 min,Zabava,359.2 kCal
Tramezzini s tuno,4,62,1,1,15 min,0 min,15 min,Italijanska,74.72 kCal
Tramezzini z mocarelo,4,73,2,1,15 min,0 min,15 min,Italijanska,265.83 kCal
Mini tramezzini,3,46,1,1,15 min,0 min,15 min,Italijanska,265.83 kCal
Malinov stolp,11,205,3,2,30 min,10 min,40 min,Poletje,235.43 kCal
Ravioli z žajbljevim maslom,6,100,2,1,5 min,15 min,20 min,Vegetarijanstvo,359.78 kCal
Piščančji curry z lečo,12,107,3,2,10 min,55 min,1 h 5 min,Meso,197.85 kCal
Skutni žepki z marmelado,7,142,3,2,2 h 0 min,20 min,2 h 20 min,Mesec prazničnih skutnih dobrot,332.29 kCal
Jajca po benediktinsko,12,167,3,3,10 min,15 min,25 min,Kuhinje,184.13 kCal
Špageti z jajčevci,10,146,3,2,40 min,15 min,55 min,Italijanska,184.43 kCal
Petelin v vinski omaki (Coq au vin),14,150,4,2,35 min,1 h 30 min,2 h 5 min,Pomlad,120.39 kCal
Rezanci z bučkami in piščancem,10,162,5,2,10 min,18 min,28 min,Italijanska,156.2 kCal
Brezovo vino,5,63,1,2,20 min,30 min,50 min,Slovenska,48.36 kCal
Pikantne žar klobasice z zelenjavno prilogo,11,124,3,2,10 min,13 min,23 min,Slovenska,188.01 kCal
Vroč malinov souffle,6,120,3,2,10 min,14 min,24 min,Poletje,172.27 kCal
Piščanec v koprovi omaki,8,118,3,1,5 min,25 min,30 min,Slovenska,170.61 kCal
Breskvice,14,233,5,2,2 h 10 min,20 min,2 h 30 min,Slovenska,455.55 kCal
Mesne kroglice v smetanovi omaki,11,96,3,2,15 min,10 min,25 min,Italijanska,213.32 kCal
Marinirane olive,9,73,2,1,6 min,0 min,6 min,Zabava,366.15 kCal
Čevapčiči,6,51,2,2,1 h 50 min,30 min,2 h 20 min,Balkanska,193.62 kCal
Ananasova krema z rumom,4,81,2,1,4 min,4 min,8 min,Priložnostno,71.53 kCal
Boranja,9,129,3,1,15 min,45 min,1 h 0 min,Kosilo,88.94 kCal
Koktajl premražena mačka,4,45,2,1,33 min,0 min,33 min,Pijača,43.6 kCal
Sendvič z milansko salamo,6,64,1,1,15 min,0 min,15 min,Piknik in žar,250.24 kCal
Ocvrti čebulni obročki,10,116,3,2,10 min,10 min,20 min,Zabava,161.93 kCal
Grozdni punč,7,72,2,1,7 min,10 min,17 min,Pijača,59.19 kCal
Topla piščančja jetrca v solati,8,94,3,1,10 min,15 min,25 min,Poletje,76.72 kCal
Piščančji burger,8,78,2,2,10 min,10 min,20 min,Piknik in žar,101.13 kCal
Pistacijin puding,5,86,2,1,6 h 15 min,3 min,6 h 18 min,Priložnostno,430.52 kCal
Sendvič z jajcem,6,78,2,1,5 min,10 min,15 min,Piknik in žar,192.96 kCal
Nenavadna solata z lubenico,7,82,2,1,20 min,0 min,20 min,Poletje,86.95 kCal
Ribji burger,8,101,2,2,15 min,10 min,25 min,Piknik in žar,89.05 kCal
Burger s slanino,8,160,3,1,15 min,13 min,28 min,Piknik in žar,274.44 kCal
Pečene paprike v solati,6,107,3,2,20 min,25 min,45 min,Piknik in žar,33.71 kCal
Kruhov kipnik z orehi,9,183,4,2,20 min,50 min,1 h 10 min,Slovenska,337.07 kCal
Okrepčilen napitek iz vodne kreše,6,64,2,1,10 min,0 min,10 min,Pijača,58.15 kCal
Pašteta iz prekajene skuše,7,87,2,1,1 h 15 min,0 min,1 h 15 min,Zabava,235.21 kCal
Italijanska paradižnikova omaka,7,43,2,1,5 min,15 min,20 min,Omake,63.64 kCal
Zavitki s slanino in zelenjavo,4,156,4,1,10 min,5 min,15 min,Zabava,28.43 kCal
Grahova kremna juha,9,101,3,2,10 min,20 min,30 min,Poletje,94.82 kCal
Omaka iz artičok in kumine,6,50,2,1,15 min,0 min,15 min,Zabava,84.93 kCal
Zavitek s piščančjimi prsmi in sirom,4,63,1,1,10 min,5 min,15 min,Piknik in žar,274.17 kCal
Zelenjavna jušna osnova,13,105,3,1,15 min,35 min,50 min,Slovenska,19.44 kCal
Špageti s slanimi sardelami,7,105,2,2,10 min,15 min,25 min,Balkanska,275.13 kCal
Juha iz pečenega paradižnika,10,112,4,2,10 min,40 min,50 min,Poletje,40.92 kCal
Mesni kaneloni,15,211,5,3,1 h 40 min,30 min,2 h 10 min,Italijanska,227.23 kCal
Sendvič s feto in piščancem,13,176,3,2,15 min,5 min,20 min,Piknik in žar,61.65 kCal
Božični kompot,11,79,2,1,15 min,15 min,30 min,Božič in novo leto,99.45 kCal
Velik in sočen sendvič,6,90,2,1,20 min,0 min,20 min,Zabava,33.26 kCal
Testenine s tuno in gobami,11,100,3,1,5 min,20 min,25 min,Italijanska,108.85 kCal
Polnozrnat sendvič s piščančjimi prsmi,6,73,2,1,15 min,0 min,15 min,Piknik in žar,52.28 kCal
Solata z rukolo in paradižnikom,8,80,2,1,20 min,0 min,20 min,Zdravo in vegi,24.5 kCal
Stonske ostrige,2,46,1,1,10 min,0 min,10 min,Balkanska,80.83 kCal
Polnozrnati kruh s prekajenim lososom,5,52,1,1,15 min,0 min,15 min,Piknik in žar,82.79 kCal
Čemaževa juha,6,113,2,2,10 min,20 min,30 min,Pomlad,75.35 kCal
Sendvič s sirnim namazom in svežimi kumarami,4,83,2,1,20 min,0 min,20 min,Piknik in žar,270 kCal
Rižota z rdečim radičem,10,145,3,2,10 min,30 min,40 min,Zelenjava,211.55 kCal
Solata panzanella,8,88,2,1,25 min,0 min,25 min,Zdravo in vegi,99.58 kCal
Krompirjeve pogačice s koprom,6,124,3,2,10 min,40 min,50 min,Vegetarijanstvo,68.89 kCal
Velik sendvič s puranjimi prsmi,7,123,3,1,15 min,0 min,15 min,Piknik in žar,53.49 kCal
Mafini z datlji in jabolki,12,159,4,1,15 min,25 min,40 min,Zdravo in vegi,278.25 kCal
Telečji ragu,14,108,3,2,15 min,50 min,1 h 5 min,Zima,72.79 kCal
Karamelni puding,6,152,4,2,20 min,1 h 30 min,1 h 50 min,Zabava,175.77 kCal
Sadni lonček z jogurtom,6,65,2,1,15 min,0 min,15 min,Vegetarijanstvo,40.94 kCal
Hobotnica s krompirjem iz pečice,8,118,3,2,15 min,1 h 15 min,1 h 30 min,Balkanska,92.63 kCal
Opite hruške s čokoladnim oblivom,8,108,3,2,1 h 15 min,20 min,1 h 35 min,Jesen,129.47 kCal
Marinirani svinjski kotleti,7,96,3,2,3 h 10 min,15 min,3 h 25 min,Zabava,167.36 kCal
Gazpacho ali paradižnikova juha,10,79,2,2,1 h 15 min,0 min,1 h 15 min,Poletje,54.02 kCal
Limonina krema,3,82,2,1,37 min,10 min,47 min,Priložnostno,386.1 kCal
Losos v listnatem testu,14,274,5,2,20 min,30 min,50 min,Zabava,246.11 kCal
Vodni žličniki,5,119,3,1,10 min,5 min,15 min,Slovenska,311.64 kCal
Rdeča pesa s svežo meto,10,110,2,2,10 min,1 h 0 min,1 h 10 min,Vegetarijanstvo,66.67 kCal
Vaflji z medom in jagodami,10,68,2,1,10 min,10 min,20 min,Kuhinje,230.38 kCal
Pečene fige z medom,6,115,3,1,10 min,19 min,29 min,Vegetarijanstvo,297.05 kCal
Dolga kitajska juha,8,102,3,2,10 min,20 min,30 min,Juhe in jedi na žlico,106.36 kCal
Bananin kruh s kardamomom,9,128,4,2,2 h 20 min,45 min,3 h 5 min,Banana na 1001 način,255.39 kCal
Pečena jajca s slanino,5,62,1,1,5 min,10 min,15 min,Meso,209.65 kCal
Polnozrnati piškoti s čokoladnimi koščki,7,136,3,1,10 min,12 min,22 min,Zabava,419.71 kCal
Hrustljave kocke,10,139,3,1,10 min,45 min,55 min,Zima,275.12 kCal
Svinjska rebrca z gorčično marinado,9,130,3,2,1 h 10 min,40 min,1 h 50 min,Piknik in žar,273.96 kCal
Lepljiva svinjska rebrca,7,95,2,2,1 h 10 min,40 min,1 h 50 min,Piknik in žar,271.08 kCal
Kranjska klobasa,1,43,2,1,0 min,15 min,15 min,Meso,268 kCal
Kvašene miške,11,87,3,2,2 h 0 min,10 min,2 h 10 min,Pust,351.63 kCal
Mesna štruca z gobami,12,161,3,2,15 min,1 h 8 min,1 h 23 min,Slovenska,202.44 kCal
Čokoladne hruške,9,147,3,1,10 min,20 min,30 min,Jesen,195.66 kCal
Ocvrti jajčevci,6,108,3,2,50 min,20 min,1 h 10 min,Poletje,106.66 kCal
Hruške z gorgonzolo in orehi,6,102,2,1,20 min,0 min,20 min,Jesen,140.8 kCal
Piščančji paprikaš,12,185,5,2,15 min,1 h 5 min,1 h 20 min,Meso,102.91 kCal
Špinačna solata z mandarinami,8,101,3,1,15 min,4 min,19 min,Zdravo in vegi,89.03 kCal
Kruh s sončničnimi semeni,10,111,2,2,15 min,40 min,55 min,Slovenska,191.93 kCal
Koruza z maslom in začimbami,7,95,3,1,10 min,7 min,17 min,Poletje,370.71 kCal
Orehov kruh,8,145,3,2,2 h 55 min,45 min,3 h 40 min,Slovenska,416.81 kCal
Skutni kolač z jabolki in mandlji,17,167,4,2,1 h 40 min,1 h 0 min,2 h 40 min,Mesec prazničnih skutnih dobrot,185.05 kCal
Solata z ananasom in piščancem,10,172,4,2,1 h 20 min,15 min,1 h 35 min,Piknik in žar,86.56 kCal
Šerbet iz jagodičevja,5,71,2,1,20 min,0 min,20 min,Poletje,55.2 kCal
Pire iz sladkega krompirja in zelene,8,107,3,1,10 min,25 min,35 min,Vegetarijanstvo,99.19 kCal
Piščanec chow mein,16,285,6,2,15 min,20 min,35 min,Meso,141.48 kCal
S špinačo nadevane piščančje prsi,9,181,4,2,10 min,49 min,59 min,Pomlad,154.15 kCal
Skutna torta z jagodičjem,13,228,5,2,4 h 40 min,5 min,4 h 45 min,Poletje,228.01 kCal
Jagodna bovla,5,74,2,1,1 h 40 min,0 min,1 h 40 min,Pomlad,159.88 kCal
Sangria,8,85,2,1,1 h 40 min,0 min,1 h 40 min,Zabava,93.44 kCal
Arašidovi piškoti,7,152,3,1,10 min,12 min,22 min,Priložnostno,433.3 kCal
Makov kolač s čokoladnim prelivom,11,206,5,2,20 min,45 min,1 h 5 min,Slovenska,386.77 kCal
Zapečen krompirjev pire,8,123,2,2,15 min,30 min,45 min,Slovenska,107.31 kCal
Jagode in čokolada,3,87,3,1,20 min,10 min,30 min,Zabava,32 kCal
Pikantne kozice,8,123,3,2,1 h 10 min,15 min,1 h 25 min,Azijska,88.69 kCal
Prekmurska gibanica,27,326,7,3,1 h 10 min,1 h 0 min,2 h 10 min,Mesec prazničnih skutnih dobrot,291.33 kCal
Sendvič s piščancem in rukolo,11,128,3,2,1 h 30 min,20 min,1 h 50 min,Piknik in žar,244.21 kCal
Melona s sadjem in belim vinom,6,59,2,1,30 min,0 min,30 min,Zabava,38.39 kCal
Rezine z brusnicami in rozinami,10,126,3,1,5 min,45 min,50 min,Vegetarijanstvo,453.08 kCal
Avokadova solata s kumarami,7,65,2,1,20 min,0 min,20 min,Vegetarijanstvo,61.46 kCal
Zidana potica,17,308,5,2,1 h 10 min,30 min,1 h 40 min,Slovenska,309.28 kCal
Račje prsi z malinovo omako,9,135,3,2,15 min,15 min,30 min,Priložnostno,122.55 kCal
Pašteta iz jajčevcev,7,110,3,2,10 min,50 min,1 h 0 min,Vegetarijanstvo,51.38 kCal
Sicilski Sfincione,7,110,3,2,15 min,40 min,55 min,Zabava,222.32 kCal
Juha iz belega fižola,9,121,3,2,15 min,20 min,35 min,Zdravo in vegi,62.52 kCal
Polnjene bodeče bučke (čajote),12,164,4,2,15 min,1 h 20 min,1 h 35 min,Meso,51.32 kCal
Avokado s pršutom in lešnikovo omako,7,72,2,1,10 min,0 min,10 min,Zdravo in vegi,192.54 kCal
